age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,y,test_control_flag,was_contacted
37,services,married,high.school,no,yes,no,telephone,5,mon,226.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
56,services,married,high.school,no,no,yes,telephone,5,mon,307.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
41,blue-collar,married,unknown,unknown,no,no,telephone,5,mon,217.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
25,services,single,high.school,no,yes,no,telephone,5,mon,50.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
25,services,single,high.school,no,yes,no,telephone,5,mon,222.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
35,blue-collar,married,basic.6y,no,yes,no,telephone,5,mon,146.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
54,retired,married,basic.9y,unknown,yes,yes,telephone,5,mon,174.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,5,mon,440.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
41,technician,single,high.school,no,yes,no,telephone,5,mon,181.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
37,admin.,married,high.school,no,yes,no,telephone,5,mon,172.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
59,technician,married,unknown,no,yes,no,telephone,5,mon,93.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
55,unknown,married,university.degree,unknown,unknown,unknown,telephone,5,mon,362.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
54,management,married,basic.4y,unknown,yes,no,telephone,5,mon,230.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
57,admin.,married,university.degree,no,no,yes,telephone,5,mon,212.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
44,admin.,married,university.degree,unknown,yes,no,telephone,5,mon,188.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
40,blue-collar,married,basic.9y,no,no,yes,telephone,5,mon,178.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
35,admin.,married,university.degree,no,yes,no,telephone,5,mon,355.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
45,blue-collar,married,basic.9y,no,yes,no,telephone,5,mon,225.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
60,admin.,married,high.school,no,no,no,telephone,5,mon,253.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
53,admin.,single,professional.course,no,no,no,telephone,5,mon,179.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
50,management,married,university.degree,unknown,no,yes,telephone,5,mon,161.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
45,services,married,high.school,unknown,yes,no,telephone,5,mon,787.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
55,unemployed,married,professional.course,unknown,yes,yes,telephone,5,mon,145.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
48,admin.,married,high.school,no,no,no,telephone,5,mon,357.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
44,blue-collar,single,basic.9y,no,yes,no,telephone,5,mon,91.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
44,blue-collar,single,basic.4y,unknown,yes,yes,telephone,5,mon,177.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
41,management,married,basic.6y,no,no,no,telephone,5,mon,200.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
41,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,5,mon,1575.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
51,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,5,mon,212.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
38,technician,single,university.degree,no,no,yes,telephone,5,mon,20.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
35,admin.,married,university.degree,no,yes,no,telephone,5,mon,180.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
45,services,married,professional.course,no,yes,no,telephone,5,mon,221.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
42,management,married,university.degree,no,no,no,telephone,5,mon,426.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
53,admin.,divorced,university.degree,unknown,no,no,telephone,5,mon,287.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
34,housemaid,married,basic.6y,no,yes,no,telephone,5,mon,300.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
42,entrepreneur,married,unknown,unknown,yes,no,telephone,5,mon,293.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
43,technician,married,unknown,unknown,yes,yes,telephone,5,mon,325.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
60,retired,divorced,university.degree,unknown,no,no,telephone,5,mon,514.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
35,services,divorced,high.school,no,yes,no,telephone,5,mon,194.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
37,management,married,university.degree,no,no,no,telephone,5,mon,337.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
52,admin.,divorced,university.degree,no,no,no,telephone,5,mon,247.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
56,admin.,married,unknown,no,yes,no,telephone,5,mon,364.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
49,blue-collar,divorced,high.school,no,no,no,telephone,5,mon,439.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
41,services,married,high.school,no,no,no,telephone,5,mon,139.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
41,technician,married,professional.course,unknown,yes,no,telephone,5,mon,579.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
39,housemaid,married,basic.4y,unknown,no,no,telephone,5,mon,69.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
56,blue-collar,married,basic.4y,unknown,no,no,telephone,5,mon,100.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
45,blue-collar,married,basic.9y,unknown,yes,no,telephone,5,mon,461.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
43,unemployed,single,university.degree,no,yes,no,telephone,5,mon,240.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
56,management,married,unknown,no,yes,no,telephone,5,mon,70.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
39,management,married,university.degree,no,yes,no,telephone,5,mon,193.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
38,unknown,divorced,high.school,unknown,yes,no,telephone,5,mon,73.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
42,blue-collar,married,basic.4y,unknown,yes,no,telephone,5,mon,528.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
42,blue-collar,married,basic.4y,unknown,no,no,telephone,5,mon,541.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,1,campaign group,0
51,blue-collar,married,basic.4y,no,yes,no,telephone,5,mon,87.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
60,blue-collar,married,basic.9y,unknown,no,no,telephone,5,mon,301.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
39,services,divorced,high.school,unknown,yes,no,telephone,5,mon,52.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
40,blue-collar,married,basic.9y,unknown,no,no,telephone,5,mon,46.0,1.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
43,services,married,high.school,no,no,no,telephone,5,mon,93.0,3.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
46,management,married,basic.9y,no,no,no,telephone,5,mon,128.0,2.0,999,0,nonexistent,1.1,93.994,-36.4,0,campaign group,0
