Variable Name,Survey,File,Variable description,Formula ,Flag name,Section number,Section description,Section part,First year,First Quarter,Last quarter,Last year,Comment
NEWID,INTERVIEW,FMLI,Public use microdata identifier,,,,"CU characteristics, income, weights, and summary level expenditures.",,1984,1.0,,,
ETOTALP,INTERVIEW,FMLI,"Total outlays last quarter, sum of outlays from all major expenditure categories.","SUM (0, FOODPQ, ALCBEVPQ, EHOUSNGP, APPARPQ, ETRANPTP, HEALTHPQ, EENTRMTP, PERSCAPQ, READPQ, EDUCAPQ, TOBACCPQ, EMISCELP, CASHCOPQ, PERINSPQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,2000,1.0,,,
ETOTAPX4,INTERVIEW,FMLI,"Adjusted total outlays last quarter, sum of outlays from all major expenditure categories.","SUM (0, FOODPQ, ALCBEVPQ, EHOUSNGP, APPARPQ, ETRANPTP, HEALTHPQ, EENTRMTP, PERSCAPQ, READPQ, EDUCAPQ, TOBACCPQ, MISC1PQ, MISC2PQ * 4, EMISCMTP, CASHCOPQ, PERINSPQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,2001,2.0,,,
EHOUSNGP,INTERVIEW,FMLI,"Total housing outlays last quarter including maintenance, fuels, public services, household operations, house furnishings, and mortgage (lump sum home equity loan or line of credit home equity loan) principle and interest.","SUM (0, ESHELTRP, UTILPQ, HOUSOPPQ, HOUSEQPQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,2000,1.0,,,
ESHELTRP,INTERVIEW,FMLI,"Shelter outlays last quarter including mortgage principle and interest for owned home and/or vacation home, rents, insurance, taxes, and maintenance.","SUM (0, EOWNDWLP, RENDWEPQ, EOTHLODP)",,,"CU characteristics, income, weights, and summary level expenditures.",,2000,1.0,,,
EOWNDWLP,INTERVIEW,FMLI,"Owned home outlays last quarter including mortgage principal and interest, property taxes, maintenance, insurance, and other expenses.","SUM (0, OWNDWEPQ, EMRTPNOP)",,,"CU characteristics, income, weights, and summary level expenditures.",,2000,1.0,,,
EOTHLODP,INTERVIEW,FMLI,"Outlays for other lodging last quarter such as owned vacation home, including mortgage principal and interest, property taxes, maintenance, insurance, and other expenses.","SUM (0, OTHLODPQ, EMRTPNVP)",,,"CU characteristics, income, weights, and summary level expenditures.",,2000,1.0,,,
EMRTPNOP,INTERVIEW,FMLI,Mortgage principal outlays last quarter for owned home.,"SUM (830201,830203,880120)",,,"CU characteristics, income, weights, and summary level expenditures.",,2000,1.0,,,
EMRTPNVP,INTERVIEW,FMLI,Mortgage principal outlays last quarter for owned vacation home.,"SUM (830202,830204,880320)",,,"CU characteristics, income, weights, and summary level expenditures.",,2000,1.0,,,
ETRANPTP,INTERVIEW,FMLI,"Total outlays for transportation last quarter including down payment, principal and finance charges paid on loans, gasoline and motor oil, maintenance and repairs, insurance, public and other transportation, and vehicle rental licenses and other charges.","SUM (0, EVEHPURP, GASMOPQ, MAINRPPQ, VEHINSPQ, VRNTLOPQ, PUBTRAPQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,2000,1.0,,,
EVEHPURP,INTERVIEW,FMLI,"Outlays for vehicle purchases last quarter including down payment, principal and interest paid on loans, or if not financed, purchase amount.","SUM (0, ECARTKNP, ECARTKUP, EOTHVEHP)",,,"CU characteristics, income, weights, and summary level expenditures.",,2000,1.0,,,
ECARTKNP,INTERVIEW,FMLI,"Outlays for new vehicle purchases last quarter including down payment, principal and interest paid on loans, or if not financed, purchase amount.
870101 870102 870103 870104","SUM (870101,870102,870103,870104)",,,"CU characteristics, income, weights, and summary level expenditures.",,2000,1.0,,,
ECARTKUP,INTERVIEW,FMLI,"Outlays for used vehicle purchases last quarter including down payment, principal and interest paid on loans, or if not financed, purchase amount. 
870201 870202 870203 870204","SUM (870201,870202,870203,870204)",,,"CU characteristics, income, weights, and summary level expenditures.",,2000,1.0,,,
EOTHVEHP,INTERVIEW,FMLI,"Outlays for other vehicle purchases last quarter including down payment, principal and interest paid on loans, or if not financed, purchase amount.","SUM (870301,870302,870303,870304)",,,"CU characteristics, income, weights, and summary level expenditures.",,2000,1.0,,,
