Variable Name,Survey,File,Variable description,Formula ,Flag name,Section number,Section description,Section part,First year,First Quarter,Last quarter,Last year,Comment
NEWID,INTERVIEW,FMLI,Public use microdata identifier,,,,"CU characteristics, income, weights, and summary level expenditures.",,1984,1.0,,,
TOTEXPPQ,INTERVIEW,FMLI,Total expenditures last quarter,,,,"CU characteristics, income, weights, and summary level expenditures.",,1980,1.0,4.0,1981.0,
FOODPQ,INTERVIEW,FMLI,Total food last quarter,"SUM (0, FDHOMEPQ, FDAWAYPQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1996,1.0,,,
FDHOMEPQ,INTERVIEW,FMLI,Food at home this quarter,"SUM (190904,790240)",,,"CU characteristics, income, weights, and summary level expenditures.",,2007,2.0,,,
FDAWAYPQ,INTERVIEW,FMLI,Food away from home last quarter,"SUM (0, FDXMAPPQ, FDMAPPQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1996,1.0,,,
FDXMAPPQ,INTERVIEW,FMLI,Food away excluding meals as pay last quarter,"SUM (190901,190902,190903,790410,790430)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
FDMAPPQ,INTERVIEW,FMLI,Meals as pay last quarter,SUM (800700),,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
ALCBEVPQ,INTERVIEW,FMLI,Alcoholic beverages last quarter,"SUM (200900,790310,790320,790420)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,1.0,2007.0,
HOUSPQ,INTERVIEW,FMLI,Housing last quarter,,,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
SHELTPQ,INTERVIEW,FMLI,Shelter last quarter,"SUM (0, OWNDWEPQ, RENDWEPQ, OTHLODPQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
OWNDWEPQ,INTERVIEW,FMLI,Owned dwellings last quarter,,,,"CU characteristics, income, weights, and summary level expenditures.",,1980,1.0,4.0,1981.0,
RENDWEPQ,INTERVIEW,FMLI,Rented dwelling last quarter,"SUM (0, RNTXRPPQ, RNTAPYPQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
RNTXRPPQ,INTERVIEW,FMLI,Rent excluding rent as pay last quarter,"SUM (210110,230111,230121,230141,230150,240111,240121,240211,240221,240311,240321,320611,320621,320631,350110,790690,990910,990920)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
RNTAPYPQ,INTERVIEW,FMLI,Rent as pay last quarter,SUM (800710),,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
OTHLODPQ,INTERVIEW,FMLI,Other lodging last quarter,"SUM (210210,210310,210902,220112,220122,220212,220312,220314,220322,220902,230119,230123,230152,230902,240113,240123,240214,240223,240313,240323320613,320623,320633,340912,880310,990940)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,1.0,2007.0,
UTILPQ,INTERVIEW,FMLI,"Utilities, fuels and public services last quarter
NTLGASPQ + ELCTRCPQ + ALLFULPQ + TELEPHPQ + WATRPSPQ","SUM (0, NTLGASCQ, ELCTRCCQ, ALLFULCQ, TELEPHCQ, WATRPSCQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
NTLGASPQ,INTERVIEW,FMLI,Natural gas last quarter,"SUM (260211,260212,260213,260214)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
ELCTRCPQ,INTERVIEW,FMLI,Electricity last quarter,"SUM (260111,260112,260113,260114)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
ALLFULPQ,INTERVIEW,FMLI,Fuel oil and other fuels last quarter,"SUM (0, FULOILPQ, OTHFLSPQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
FULOILPQ,INTERVIEW,FMLI,Fuel oil last quarter,"SUM (250111,250112,250113,250114)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
OTHFLSPQ,INTERVIEW,FMLI,Other fuels last quarter,"SUM (250211,250212,250213,250214,250911,250912,250913,250914)",,,"CU characteristics, income, weights, and summary level expenditures.",,2005,2.0,,,
TELEPHPQ,INTERVIEW,FMLI,Telephone services last quarter,"SUM (270101,270102)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,1.0,2001.0,
WATRPSPQ,INTERVIEW,FMLI,Water and other public services last quarter,"SUM (270211,270212,270213,270214,270411,270412,270413,270414,270901,270902,270903,270904)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
HOUSOPPQ,INTERVIEW,FMLI,Household operations last quarter,"SUM (0, DOMSRVPQ, OTHHEXPQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
DOMSRVPQ,INTERVIEW,FMLI,Domestic services last quarter,"SUM (0, DMSXCCPQ, BBYDAYPQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
DMSXCCPQ,INTERVIEW,FMLI,Domestic services excluding child care last quarter,"SUM (340310,340410,340420,340520,340530,340903,340906,340910,340914)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
BBYDAYPQ,INTERVIEW,FMLI,Babysitting and child day care last quarter,"SUM (340210,670310)",,,"CU characteristics, income, weights, and summary level expenditures.",,2013,2.0,,,
OTHHEXPQ,INTERVIEW,FMLI,Other household expenses last quarter,"SUM (330511,340510,340620,340630,340901,340907,340908,690113,690114,990900)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,2.0,1.0,1999.0,
HOUSEQPQ,INTERVIEW,FMLI,House furnishings and equipment last quarter,,,,"CU characteristics, income, weights, and summary level expenditures.",,1980,1.0,4.0,1981.0,
TEXTILPQ,INTERVIEW,FMLI,Household textiles last quarter,"SUM (280110,280120,280130,280210,280220,280230,280900)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
FURNTRPQ,INTERVIEW,FMLI,Furniture last quarter,"SUM (290110,290120,290210,290310,290320,290410,290420,290430,290440)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
FLRCVRPQ,INTERVIEW,FMLI,Floor coverings last quarter,"SUM (320111,320624,320625)",,,"CU characteristics, income, weights, and summary level expenditures.",,2013,2.0,,,
MAJAPPPQ,INTERVIEW,FMLI,Major appliances last quarter,"SUM (230117,230118,300111,300112,300216,300217,300311,300312,300321,300322,300331,300332,300411,300412,320511,320512)",,,"CU characteristics, income, weights, and summary level expenditures.",,2013,2.0,,,
SMLAPPPQ,INTERVIEW,FMLI,"Small appliances, miscellaneous housewares last quarter","SUM (320310,320320,320330,320340,320350,320360,320370,320521,320522)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
MISCEQPQ,INTERVIEW,FMLI,Miscellaneous household equipment last quarter,"SUM (320120,320130,320150,320210,320220,320231,320232,320410,320420,320901,320902,320903,320904,340904,430130,690111,690112,690210,690220,690230690241,690242,690243,690244,690245)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,1.0,2005.0,
APPARPQ,INTERVIEW,FMLI,Apparel and services last quarter,"SUM (0, MENBOYPQ, WOMGRLPQ, CHLDRNPQ, FOOTWRPQ, OTHAPLPQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
MENBOYPQ,INTERVIEW,FMLI,Clothing for men and boys last quarter,"SUM (0, MENSIXPQ, BOYFIFPQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
MENSIXPQ,INTERVIEW,FMLI,"Clothing for men, 16 and over last quarter","SUM (360110,360120,360210,360311,360312,360320,360330,360340,360350,360410,360511,360512,360901,360902)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,1.0,2007.0,
BOYFIFPQ,INTERVIEW,FMLI,"Clothing for boys, 2 to 15 last quarter","SUM (370110,370120,370130,370211,370212,370213,370220,370311,370312,370313,370901,370902,370903,370904)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,1.0,2007.0,
WOMGRLPQ,INTERVIEW,FMLI,Clothing for women and girls last quarter WOMSIXPQ + GRLFIFPQ,,,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
WOMSIXPQ,INTERVIEW,FMLI,"Clothing for women, 16 and over last quarter","SUM (380110,380210,380311,380312,380313,380320,380340,380410,380420,380430,380510,380901,380902,380903,380333)",,,"CU characteristics, income, weights, and summary level expenditures.",,2007,2.0,,,
GRLFIFPQ,INTERVIEW,FMLI,"Clothing for girls, 2 to 15 last quarter","SUM (390110,390120,390210,390221,390222,390230,390310,390321,390322,390901,390902)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
CHLDRNPQ,INTERVIEW,FMLI,Clothing for children under 2 last quarter,"SUM (410110,410120,410130,410140,410901)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
FOOTWRPQ,INTERVIEW,FMLI,Footwear last quarter,"SUM (400110,400210,400220,400310)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
OTHAPLPQ,INTERVIEW,FMLI,OTHAPLPQ Other apparel products and services last quarter,"SUM (420110,420120,430110,430120,440110,440120,440130,440140,440150,440210,440900)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,1.0,2013.0,
TRANSPQ,INTERVIEW,FMLI,Transportation last quarter,,,,"CU characteristics, income, weights, and summary level expenditures.",,1980,1.0,4.0,1981.0,
