Variable Name,Survey,File,Variable description,Formula ,Flag name,Section number,Section description,Section part,First year,First Quarter,Last quarter,Last year,Comment
NEWID,INTERVIEW,FMLI,Public use microdata identifier,,,,"CU characteristics, income, weights, and summary level expenditures.",,1984,1.0,,,
TOTEXPCQ,INTERVIEW,FMLI,Total expenditures this quarter,"SUM (0, FOODCQ, ALCBEVCQ, HOUSCQ, APPARCQ, TRANSCQ, HEALTHCQ, ENTERTCQ, PERSCACQ, READCQ, EDUCACQ, TOBACCCQ, LIFINSCQ, MISCCQ, CASHCOCQ, RETPENCQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1996,1.0,,,
FOODCQ,INTERVIEW,FMLI,Total food this quarter,"SUM (0, FDHOMECQ, FDAWAYCQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1996,1.0,,,
FDHOMECQ,INTERVIEW,FMLI,Food at home this quarter,"SUM (190904,790220,790230)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,1.0,2007.0,
FDAWAYCQ,INTERVIEW,FMLI,Food away from home this quarter,"SUM (190901-190903, 790410, 790430, 800700)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,4.0,1995.0,
FDXMAPCQ,INTERVIEW,FMLI,Food away excluding meals as pay this quarter,"SUM (190901,190902,190903,790410,790430)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
FDMAPCQ,INTERVIEW,FMLI,Meals as pay this quarter,SUM (800700),,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
ALCBEVCQ,INTERVIEW,FMLI,Alcoholic beverages this quarter,,,,"CU characteristics, income, weights, and summary level expenditures.",,1980,1.0,4.0,1981.0,
HOUSCQ,INTERVIEW,FMLI,Housing this quarter,,,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
SHELTCQ,INTERVIEW,FMLI,Shelter this quarter,"SUM (0, OWNDWECQ, RENDWECQ, OTHLODCQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
OWNDWECQ,INTERVIEW,FMLI,Owned dwellings this quarter,,,,"CU characteristics, income, weights, and summary level expenditures.",,1980,1.0,4.0,1981.0,
RENDWECQ,INTERVIEW,FMLI,Rented dwelling this quarter,"SUM (0, RNTXRPCQ, RNTAPYCQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
RNTXRPCQ,INTERVIEW,FMLI,Rent excluding rent as pay this quarter,"SUM (210110,230111,230121,230141,230150,240111,240121,240211,240221,240311,240321,320611,320621,320631,350110,790690,990910,990920)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
RNTAPYCQ,INTERVIEW,FMLI,Rent as pay this quarter,SUM (800710),,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
OTHLODCQ,INTERVIEW,FMLI,Other lodging this quarter,"SUM (210210,210310,210902,220112,220122,220212,220312,220314,220902,230119,230123,230152,230902,240113,240123,240214,240223,240313,240323320613,320623,320633,340912,880310,990940,680905)",,,"CU characteristics, income, weights, and summary level expenditures.",,2007,2.0,,,
UTILCQ,INTERVIEW,FMLI,"Utilities, fuels and public services this quarter 
NTLGASCQ + ELCTRCCQ + ALLFULCQ + TELEPHCQ + WATRPSCQ",,,,"CU characteristics, income, weights, and summary level expenditures.",,1980,1.0,4.0,1981.0,
NTLGASCQ,INTERVIEW,FMLI,Natural gas this quarter,"SUM (260211,260212,260213,260214)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
ELCTRCCQ,INTERVIEW,FMLI,Electricity this quarter,"SUM (260111,260112,260113,260114)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
ALLFULCQ,INTERVIEW,FMLI,Fuel oil and other fuels this quarter,"SUM (0, FULOILCQ, OTHFLSCQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
FULOILCQ,INTERVIEW,FMLI,Fuel oil this quarter,"SUM (250111,250112,250113,250114)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
OTHFLSCQ,INTERVIEW,FMLI,Other fuels this quarter,"SUM (250211,250212,250213,250214,250911,250912,250913,250914)",,,"CU characteristics, income, weights, and summary level expenditures.",,2005,2.0,,,
TELEPHCQ,INTERVIEW,FMLI,Telephone services this quarter,"SUM (270101,270102)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,1.0,2001.0,
WATRPSCQ,INTERVIEW,FMLI,Water and other public services this quarter,"SUM (270211,270212,270213,270214,270411,270412,270413,270414,270901,270902,270903,270904)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
HOUSOPCQ,INTERVIEW,FMLI,Household operations this quarter,"SUM (0, DOMSRVCQ, OTHHEXCQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
DOMSRVCQ,INTERVIEW,FMLI,Domestic services this quarter,"SUM (0, DMSXCCCQ, BBYDAYCQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
DMSXCCCQ,INTERVIEW,FMLI,Domestic services excluding child care this quarter,"SUM (340310,340410,340420,340520,340530,340903,340906,340910,340914)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,,,
BBYDAYCQ,INTERVIEW,FMLI,Babysitting and child day care this quarter,"SUM (340211,340212,670310)",,,"CU characteristics, income, weights, and summary level expenditures.",,1994,1.0,1.0,2013.0,
OTHHEXCQ,INTERVIEW,FMLI,Other household expenses this quarter,"SUM (330511,340510,340620,340630,340901,340907,340908,340915,690113,690114,990900)",,,"CU characteristics, income, weights, and summary level expenditures.",,1999,2.0,1.0,2001.0,
HOUSEQCQ,INTERVIEW,FMLI,House furnishings and equipment this quarter,"SUM (0, TEXTILCQ, FURNTRCQ, FLRCVRCQ, MAJAPPCQ, SMLAPPCQ, MISCEQCQ)",,,"CU characteristics, income, weights, and summary level expenditures.",,1990,1.0,,,
